Script started on Thu Apr  4 20:41:54 2019
[?1034hbash-3.2$ screen /dev/cu.usbmodem45301401 115200
[?1049h[!p[?3;4l[4l>[4l[?1h=[0m(B[1;76r[H[2J[H[2JEXPERIMENTO Resp en frecuencia 1, CON DIRECCION: ADELANTE
input   wi  wo
-100 -3.34 nan
-100 -3.34 0.22
100 3.34 0.90
100 3.34 0.67
100 3.34 -0.07
-100 -3.34 -0.75
-100 -3.34 -0.60
-100 -3.34 0.15
-100 -3.34 0.75
-100 -3.34 1.27
-100 -3.34 1.65
-100 -3.34 1.94
-100 -3.34 2.24
-100 -3.34 2.39
-100 -3.34 2.54
-100 -3.34 2.69
-100 -3.34 2.84
-100 -3.34 2.84
-100 -3.34 2.72
-100 -3.34 2.99
-100 -3.34 3.07
-100 -3.34 3.14
-100 -3.34 3.14
-100 -3.34 3.22
-100 -3.34 3.22
-100 -3.34 3.22
-100 -3.34 3.22
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 2.99
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 2.99
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.06
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.06
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.06
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.06
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 2.99
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.29
-100 -3.34 3.37
-100 -3.34 3.37
100 3.34 3.29
100 3.34 2.84
100 3.34 1.80
100 3.34 0.75
100 3.34 0.00
100 3.34 -0.67
100 3.34 -1.20
100 3.34 -1.50
100 3.34 -1.87
100 3.34 -2.17
100 3.34 -2.32
100 3.34 -2.47
100 3.34 -2.62
100 3.34 -2.77
100 3.34 -2.84
100 3.34 -2.92
100 3.34 -2.99
100 3.34 -3.07
100 3.34 -3.07
100 3.34 -3.14
100 3.34 -3.14
100 3.34 -3.14
100 3.34 -3.22
100 3.34 -3.22
100 3.34 -2.92
100 3.34 -3.29
100 3.34 -3.22
100 3.34 -3.29
100 3.34 -3.22
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.37
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.37
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.37
100 3.34 -3.29
100 3.34 -2.99
100 3.34 -3.37
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.37
100 3.34 -3.29
100 3.34 -3.29
100 3.34 -3.37
