ADELANTE
input   wi  wo
100 3.34 nan
0 0.00 0.22
0 0.00 0.45
0 0.00 0.37
0 0.00 0.22
0 0.00 0.15
0 0.00 0.15
0 0.00 0.07
0 0.00 0.07
0 0.00 0.00
0 0.00 -0.07
0 0.00 -0.07
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
100 3.34 0.00
100 3.34 0.30
100 3.34 0.82
100 3.34 1.27
100 3.34 1.65
100 3.34 1.94
100 3.34 2.17
100 3.34 2.32
100 3.34 2.54
100 3.34 2.62
100 3.34 2.77
100 3.34 2.92
100 3.34 2.92
100 3.34 2.99
100 3.34 2.99
100 3.34 3.14
100 3.34 3.07
100 3.34 3.22
100 3.34 2.86
100 3.34 3.22
100 3.34 3.14
100 3.34 3.22
100 3.34 3.29
100 3.34 3.22
100 3.34 3.29
100 3.34 3.22
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 2.99
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.06
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 2.99
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 2.99
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 2.99
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.06
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.37
100 3.34 2.99
100 3.34 3.29
100 3.34 3.29
100 3.34 3.37
100 3.34 3.29
100 3.34 3.29
