input   wi  wo
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
