ADELANTE
input   wi  wo
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
0 0.00 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
1 0.03 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
2 0.07 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
3 0.10 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
4 0.13 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
5 0.17 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
6 0.20 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
7 0.23 0.00
